node_id,trojan_probability
692,0.90520674
693,0.3655767
694,0.9682358
695,0.32644325
696,0.9305369
697,0.32486334
698,0.9637873
699,0.32661277
700,0.96465236
701,0.3146649
702,0.95367223
703,0.27105522
704,0.9510969
705,0.27515513
706,0.95060724
707,0.32666907
708,0.9601733
709,0.3146933
710,0.9536812
711,0.27106178
712,0.9632157
713,0.2926656
714,0.9521382
715,0.27106172
716,0.9600356
717,0.26628497
718,0.93195957
719,0.22312824
720,0.9455219
721,0.22499919
722,0.9246971
723,0.27106172
724,0.949865
725,0.26628497
726,0.93195957
727,0.22312824
728,0.9609536
729,0.25770748
730,0.935905
731,0.22312824
732,0.95068806
733,0.22153647
734,0.9025369
735,0.1842059
736,0.9589419
737,0.23297855
738,0.93143886
739,0.22312824
740,0.9520931
741,0.22153647
742,0.9025369
743,0.1842059
744,0.9527355
745,0.2219878
746,0.9126702
747,0.1842059
748,0.9219451
749,0.18277712
750,0.85682046
751,0.16037819
